TN	hand	digit	Corr	TargetX	TargetY	EnsPercent	RawX	RawY	RawZ	ForceX	ForceY	ForceZ	RT	MT	EnsForce	measStartTime	measEndTime	BN	TrueForce
67	2	4	1	0	0.3	0	6.56E-07	0.084783518	-0.011747073	0.000418833	0.25360606	-0.033913683	7534.171448	10984.88652	0.01510584	1428687.705	1446628.341	1	1.4
68	2	4	1	-0.64	0.64	0	0.19981575	0.204598513	0.01513897	-0.598605649	0.613989755	0.046927553	6900.741999	11185.27438	0.014589182	1451688.401	1469696.565	1	3.95
69	2	4	1	-0.21	0.21	0	0.059963769	0.058051288	-0.003865483	-0.179535244	0.17347411	-0.011504894	7717.127607	9301.544351	0.015324933	1474773.242	1490547.875	1	1
70	2	4	1	-0.07	0.07	0	0.010540903	0.013920523	0.001137841	-0.031493232	0.040855228	0.003367745	4272.650261	4400.529213	0.015555831	1495623.947	1505998.923	1	0.05
71	2	4	1	-0.07	0.07	0	0.01441049	0.01032011	0.000910909	-0.041645375	0.030604268	0.001954516	7172.964863	7334.635092	0.01460169	1511059.27	1524366.621	1	0.2
72	2	4	1	0.21	-0.21	0	-0.062186791	-0.057093792	0.01757276	0.186528004	-0.171184269	0.053771151	7877.459488	9594.913841	0.015514234	1529427.152	1546101.052	1	1.15
73	2	4	1	-0.07	-0.07	0	0.013709043	-0.011321356	0.007178204	-0.040771068	-0.03567964	0.022541707	6050.413776	6384.802714	0.015790683	1551161.959	1563974.564	1	0.3
74	2	4	1	0.49	-0.49	0	-0.160738696	-0.144485764	0.032669145	0.481439224	-0.434816801	0.097412332	5050.256237	8900.370033	0.017853653	1569046.626	1584809.204	1	3.4
75	2	4	1	-0.35	-0.35	0	0.107820993	-0.10799482	0.061267994	-0.323948518	-0.323239967	0.182934218	4282.913601	8145.390887	0.015682326	1589866.261	1605721.209	1	1.3
76	2	4	1	-0.21	-0.21	0	0.061128916	-0.060405924	0.036131991	-0.181962499	-0.180376171	0.108212863	2516.52422	8750.480912	0.015273134	1610781.911	1626422.102	1	1.05
77	2	4	1	0.07	-0.07	0	-0.012555381	-0.012009609	0.006404712	0.037277711	-0.035316703	0.017611939	4733.262903	5316.610793	0.013976066	1631483.631	1643195.802	1	0.25
78	2	4	1	0.1	0	0	-0.021454777	0.000441103	0.003557513	0.064655656	0.00031986	0.012595175	5751.649322	6085.696927	0.014499605	1648253.407	1660640.951	1	0.3
79	2	4	1	-0.49	-0.49	0	0.150262333	-0.155767069	0.081179333	-0.451822815	-0.466783298	0.24321756	5450.911626	8735.150447	0.013494002	1665704.747	1682925.629	1	2.65
80	2	4	1	-0.07	-0.07	0	0.018206793	-0.008774464	0.008559225	-0.05455564	-0.026841301	0.023663484	4933.406438	6183.199031	0.014840627	1688002.92	1700576.474	1	0.3
81	2	4	1	0.21	0.21	0	-0.060368976	0.060927902	-0.008337237	0.179812156	0.181812629	-0.024141946	6483.308396	8251.062382	0.014137389	1705621.462	1720966.977	1	1.1
82	2	4	1	0.49	0.49	0	-0.148798322	0.160010037	-0.017946355	0.446103643	0.48058039	-0.053335518	5717.268005	9234.183883	0.013262902	1726024.604	1742609.837	1	2.75
83	2	4	1	0.1	0	0	-0.019651943	-0.001121544	0.00081435	0.058729243	-0.002684876	0.003083928	10767.25402	11217.69011	0.013943223	1747634.499	1765145.142	1	0.25
84	2	4	1	-0.1	0	0	0.017075292	-0.000643898	0.006060908	-0.051161139	-0.001284309	0.016763635	8316.965619	8667.136851	0.152549303	1770186.018	1785212.417	1	0.2
85	2	4	1	-0.49	-0.49	0	0.158669794	-0.159410584	0.060693822	-0.475944644	-0.477584368	0.182081465	5900.359093	9520.174226	0.014122215	1790254.497	1807216.368	1	3.5
86	2	4	1	0	-0.9	0	-0.004765007	-0.287940856	0.096212979	0.014456869	-0.863531244	0.290378466	377.1486044	11728.86678	0.013065435	1812277.647	1831667.576	1	5.1
87	2	4	1	-0.5	0	0	0.151848108	-0.001123857	0.016387897	-0.455317738	-0.004439757	0.048431257	16.01458981	10367.10407	0.260895891	1836745.276	1853602.12	1	1.9
88	2	4	1	-0.9	0	0	0.286039977	0.003724616	0.022333318	-0.857990453	0.011238586	0.065809751	6950.366259	17151.67893	0.280434916	1858666.619	1883076.237	1	3.95
89	2	4	1	0	-0.5	0	-0.005089468	-0.150780936	0.050939626	0.014135481	-0.4522457	0.154237967	32.29028509	10467.10782	0.017288766	1888133.986	1905654.981	1	2.8
